Numer iteracji;compensation_coef = 0.5;compensation_coef = 0.7;compensation_coef = 0.8;compensation_coef = 0.85;compensation_coef = 0.9;compensation_coef = 0.92;compensation_coef = 0.95;compensation_coef = 0.97;compensation_coef = 0.98;compensation_coef = 0.99;;Numer iteracji;compensation_coef = 0.5;compensation_coef = 0.7;compensation_coef = 0.8;compensation_coef = 0.85;compensation_coef = 0.9;compensation_coef = 0.92;compensation_coef = 0.95;compensation_coef = 0.97;compensation_coef = 0.98;compensation_coef = 0.99
51;264.525;265.28;264.735;263.87;267.81;;263.85;266.8733333333334;265.12;263.26;;51;296.0;296.0;296.0;296.0;296.0;;295.6666666666667;296.0;296.0;296.0
52;266.25;267.17499999999995;265.515;264.88;270.04;;267.2866666666667;267.2633333333334;265.875;268.31;;52;296.0;296.0;298.0;296.0;296.0;;297.0;295.6666666666667;296.0;296.0
53;267.225;264.51;265.63;267.61;268.58;;266.60333333333335;268.36;266.47;266.99;;53;297.5;296.0;296.0;296.0;296.0;;294.3333333333333;296.0;296.0;296.0
54;268.375;266.63;266.705;263.76;267.8;;267.52;268.2466666666667;271.09;;;54;298.0;296.0;295.5;296.0;300.0;;297.5;296.0;296.0;
55;264.75;266.53999999999996;265.04;265.13;266.98;;266.23;268.3066666666667;;;;55;296.0;296.0;296.0;296.0;296.0;;296.0;296.0;;
56;266.11;264.72;266.04;264.91;267.68;;266.94;269.99;;;;56;295.5;295.5;296.0;295.0;296.0;;296.0;296.0;;
57;267.03499999999997;265.33;265.17;;268.71;;267.945;267.205;;;;57;295.5;296.0;296.0;;296.0;;298.0;296.0;;
58;268.09;267.18;267.01;;268.97;;267.03999999999996;267.24;;;;58;295.0;296.0;296.0;;296.0;;295.5;298.0;;
59;265.72;268.7;265.72;;266.65;;267.685;272.38;;;;59;296.0;296.0;298.0;;295.0;;298.0;296.0;;
60;263.72;;267.03499999999997;;268.76;;268.40999999999997;;;;;60;296.0;;298.0;;300.0;;296.0;;;
61;264.73;;264.685;;267.93;;269.07;;;;;61;296.0;;296.0;;296.0;;296.0;;;
62;;;266.37;;;;266.29;;;;;62;;;296.0;;;;295.0;;;
63;;;265.27;;;;;;;;;63;;;296.0;;;;;;;
64;;;265.96;;;;;;;;;64;;;300.0;;;;;;;
65;;;265.72;;;;;;;;;65;;;296.0;;;;;;;
66;;;267.79;;;;;;;;;66;;;296.0;;;;;;;
67;;;265.29;;;;;;;;;67;;;300.0;;;;;;;
